id,PROHIBE_JORNADA,PROHIBE_CLASES,CONFISCACION,PROHIBE_FOTOS,RESTRINGE_USO,USO_INAPR,PROTOCOLO_USO,PROHIBE_REDES,SIN_REGULACION,PROHIBE_LABORAL
1,0,1,1,1,1,1,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,1,0,0,0,0
7,0,0,0,0,0,1,0,0,0,0
8,1,1,0,1,1,1,1,0,0,0
9,0,0,0,0,1,1,0,0,0,0
10,0,1,1,0,1,1,1,0,0,0
11,0,0,1,1,0,1,1,0,0,0
12,0,1,0,1,1,0,0,0,1,0
14,0,1,1,1,1,1,0,0,0,0
15,0,0,0,0,0,1,0,0,0,0
16,0,1,1,1,1,1,1,0,0,0
18,0,1,1,0,1,0,0,0,0,0
19,0,0,1,0,1,1,0,0,0,0
20,0,1,1,1,1,1,1,0,0,0
25,0,1,1,1,1,1,1,0,0,0
26,0,0,1,1,1,1,0,0,0,1
27,0,0,0,0,0,1,1,0,0,0
28,0,0,0,0,0,1,1,0,0,0
29,0,1,1,1,1,1,1,0,0,0
32,0,1,1,1,1,1,0,0,0,0
33,0,1,0,0,1,1,1,0,0,0
35,0,0,0,0,1,0,0,0,0,0
36,0,0,0,0,1,0,1,0,0,1
38,0,0,1,0,1,1,0,0,0,0
39,0,1,0,1,0,1,1,0,0,0
41,0,0,0,0,1,1,0,0,0,0
45,0,1,0,0,1,0,0,0,0,0
56,0,1,1,1,1,1,1,1,0,0
59,0,1,1,1,1,0,1,0,0,0
60,0,0,0,1,0,0,0,0,1,0
69,Exception occurred. Please try again: File path ./muestra/ReglamentoConvivencia_69.pdf is not a valid file or url,Exception occurred. Please try again: File path ./muestra/ReglamentoConvivencia_69.pdf is not a valid file or url,Exception occurred. Please try again: File path ./muestra/ReglamentoConvivencia_69.pdf is not a valid file or url,Exception occurred. Please try again: File path ./muestra/ReglamentoConvivencia_69.pdf is not a valid file or url,Exception occurred. Please try again: File path ./muestra/ReglamentoConvivencia_69.pdf is not a valid file or url,Exception occurred. Please try again: File path ./muestra/ReglamentoConvivencia_69.pdf is not a valid file or url,Exception occurred. Please try again: File path ./muestra/ReglamentoConvivencia_69.pdf is not a valid file or url,Exception occurred. Please try again: File path ./muestra/ReglamentoConvivencia_69.pdf is not a valid file or url,Exception occurred. Please try again: File path ./muestra/ReglamentoConvivencia_69.pdf is not a valid file or url,Exception occurred. Please try again: File path ./muestra/ReglamentoConvivencia_69.pdf is not a valid file or url
72,0,0,0,0,0,0,0,0,0,0
78,0,0,0,1,1,1,1,0,0,0
109,0,1,0,0,1,0,1,0,0,0
110,0,0,0,1,0,1,1,0,0,0
112,0,0,0,0,1,0,0,0,0,0
113,0,1,1,0,1,1,0,0,0,0
116,0,1,1,1,1,1,0,0,0,0
117,0,1,1,1,1,1,1,0,0,0
119,0,1,1,1,1,1,0,0,0,0
124,0,1,1,0,1,1,0,0,0,0
129,0,0,0,1,0,1,1,0,0,0
134,0,1,1,1,1,1,0,0,0,0
161,0,0,0,0,0,1,0,0,1,0
167,0,0,0,0,0,0,0,0,0,0
178,0,1,1,1,1,1,1,0,0,0
188,0,1,0,1,1,0,0,0,0,0
191,0,1,1,1,1,1,1,0,0,0
195,0,1,1,1,1,1,0,0,0,0
199,0,1,0,0,1,0,0,0,0,0
200,0,1,1,0,1,0,0,0,0,0
201,0,0,0,1,0,0,1,1,0,0
203,0,1,1,1,1,0,1,0,0,0
205,0,0,0,0,1,0,0,0,0,0
206,0,1,1,0,1,0,0,0,0,0
208,0,1,1,0,1,1,1,0,0,0
217,0,1,0,1,1,1,1,0,0,0
223,0,0,0,0,1,1,0,0,1,0
224,1,1,1,0,1,1,0,0,0,0
225,0,1,1,1,1,1,0,0,0,0
228,0,1,1,0,1,1,0,0,0,0
231,0,1,1,0,1,0,0,0,0,0
